GEOID,NAME,svi_cdc,dom_ses,dom_household,dom_minority,dom_housing,pca_sovi
17031010100,Census Tract 101; Cook County; Illinois,0.4448024718605164,0.6626475759859332,0.26733232856066313,0.23888470233609646,0.6601356443104748,0.3041381783617798
17031820400,Census Tract 8204; Cook County; Illinois,0.7031560361951003,0.7538306958050741,0.5663149962321025,0.6639035418236623,0.5800678221552373,0.4658139522943871
17031820501,Census Tract 8205.01; Cook County; Illinois,0.3330169940410505,0.5357950263752826,0.45214770158251694,0.15486058779201206,0.36812358703843256,0.31958026303935194
17031820502,Census Tract 8205.02; Cook County; Illinois,0.5995585963363496,0.7164029138407435,0.4568575734740015,0.5979653353428787,0.4981160512434062,0.3528979526137868
17031820603,Census Tract 8206.03; Cook County; Illinois,0.6853453983668063,0.7221803566942979,0.7072343632253203,0.6759608138658628,0.40806330067822155,0.5110304938383589
17031820604,Census Tract 8206.04; Cook County; Illinois,0.5595232840432575,0.6096458176337604,0.6019216277317256,0.5041446872645063,0.43971363978899775,0.4446295521329548
17031820605,Census Tract 8206.05; Cook County; Illinois,0.5050099315824321,0.527254458678724,0.4142803315749812,0.28334589299171065,0.7754333082140166,0.47983607270936113
17031820606,Census Tract 8206.06; Cook County; Illinois,0.39086294416243655,0.463200200954534,0.4841748304446119,0.36058779201205726,0.36755840241145443,0.334895580963266
17031820700,Census Tract 8207; Cook County; Illinois,0.5965129110571616,0.5249937201708114,0.6708741522230596,0.696307460437076,0.36850037678975134,0.43334107473722894
17031820800,Census Tract 8208; Cook County; Illinois,0.5548664753917457,0.46018588294398394,0.6595704596834966,0.6955538809344386,0.3268651092690279,0.49615877291921373
17031820901,Census Tract 8209.01; Cook County; Illinois,0.6478260869565216,0.5136900276312484,0.7349284099472494,0.6345139412207987,0.5235493594574228,0.4806822325680618
17031820902,Census Tract 8209.02; Cook County; Illinois,0.6519090708452879,0.6897764380808842,0.6827430293896006,0.7309721175584024,0.3148078372268274,0.5627302460485551
17031821001,Census Tract 8210.01; Cook County; Illinois,0.616751269035533,0.6325043958804321,0.5808214016578749,0.6480783722682744,0.4568575734740015,0.4695271707409467
17031821002,Census Tract 8210.02; Cook County; Illinois,0.5582652836018539,0.7279577995478523,0.5195930670685758,0.5810097965335342,0.32328560663149963,0.3825917082538103
17031821101,Census Tract 8211.01; Cook County; Illinois,0.49359964687706903,0.5443355940718413,0.591183119819141,0.512810851544838,0.31951770911831195,0.37804829029928816
17031821102,Census Tract 8211.02; Cook County; Illinois,0.4112999337894504,0.5119316754584275,0.6733232856066315,0.2678975131876413,0.28051996985681993,0.4312319541727809
17031821200,Census Tract 8212; Cook County; Illinois,0.7862061355109246,0.8414971112785732,0.5405048982667672,0.7633760361718162,0.6550489826676715,0.5119092241740799
17031821300,Census Tract 8213; Cook County; Illinois,0.7396601191789891,0.8121075106757096,0.5516201959306707,0.6288620949510173,0.6753956292388847,0.5081478731822882
17031821401,Census Tract 8214.01; Cook County; Illinois,0.6433458397704701,0.6654107008289374,0.7814619442351168,0.4544084400904295,0.4926525998492841,0.5611687159066613
17031821402,Census Tract 8214.02; Cook County; Illinois,0.7444714191127786,0.5428284350665662,0.8142426525998493,0.7799547852298417,0.5446495855312735,0.5926552195695834
17031821500,Census Tract 8215; Cook County; Illinois,0.6765614654601633,0.7533283094699824,0.7558402411454408,0.4577995478522984,0.5214770158251696,0.6877101178124417
17031821600,Census Tract 8216; Cook County; Illinois,0.36561465460163317,0.28811856317508167,0.41465712132629995,0.5327807083647325,0.36812358703843256,0.3269000979907882
17031821700,Census Tract 8217; Cook County; Illinois,0.32721253586404764,0.3107259482542075,0.7388847023360965,0.10512434061793519,0.33967596081386586,0.3749734600233509
17031821800,Census Tract 8218; Cook County; Illinois,0.2228647097770911,0.3220296407937704,0.5467219291635268,0.18538055764883196,0.14336850037678975,0.3550231172409371
17031821900,Census Tract 8219; Cook County; Illinois,0.3919885235047451,0.1904044209997488,0.7680859080633007,0.41785983421250944,0.30237377543330823,0.36773911593632225
17031822000,Census Tract 8220; Cook County; Illinois,0.3406532774222025,0.4154734991208239,0.4133383571966842,0.5301431801055012,0.17370007535795026,0.3051140029098877
17031822101,Census Tract 8221.01; Cook County; Illinois,0.42754358861178543,0.62295905551369,0.56706857573474,0.30934438583270535,0.2805199698568199,0.372006972993436
17031822102,Census Tract 8221.02; Cook County; Illinois,0.3074817920988744,0.4147199196181864,0.46910324039186135,0.23549359457422758,0.3189525244913338,0.3245075420601737
17031822200,Census Tract 8222; Cook County; Illinois,0.2549106157581108,0.5526249686008541,0.39412207987942727,0.10135644310474755,0.24058025621703089,0.3057733153717792
17031822301,Census Tract 8223.01; Cook County; Illinois,0.3628117413374531,0.4167294649585531,0.3990203466465712,0.5681989449886964,0.21175584024114544,0.31066048548666175
17031822302,Census Tract 8223.02; Cook County; Illinois,0.3926726991834032,0.43933685003767897,0.3858327053504145,0.4280331574981161,0.4274679728711379,0.2796337646234583
17031822400,Census Tract 8224; Cook County; Illinois,0.6041050540719488,0.5285104245164531,0.685380557648832,0.5636774679728711,0.5047098718914845,0.4694507193958628
17031822500,Census Tract 8225; Cook County; Illinois,0.19163540057382478,0.34413463953780454,0.5205350414468727,0.11831198191409194,0.12565938206480784,0.24715411017752048
17031822601,Census Tract 8226.01; Cook County; Illinois,0.3732730081659677,0.28334589299171065,0.587792012057272,0.5226073850791259,0.23172569706103993,0.3143103084507092
17031822602,Census Tract 8226.02; Cook County; Illinois,0.5299271683954975,0.5945742275810098,0.5691409193669932,0.4943481537302185,0.41314996232102486,0.35428007666807637
